GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Sam Pollock,0.716,0.795,0.633,0.716,116,9,14,['Montréal Canadiens']
Milt Schmidt,0.66,0.731,0.583,0.66,33,2,5,['Boston Bruins']
Julien Brisebois,0.64,0.641,0.639,0.64,48,2,4,['Tampa Bay Lightning']
Joe Sakic,0.635,0.656,0.613,0.643,40,1,5,['Colorado Avalanche']
Bill Torrey,0.607,0.708,0.51,0.607,119,4,16,['New York Islanders']
Serge Savard,0.595,0.671,0.513,0.595,94,2,11,['Montréal Canadiens']
Stan Bowman,0.592,0.7,0.483,0.592,71,3,11,['Chicago Blackhawks']
Peter Chiarelli,0.588,0.654,0.511,0.588,57,1,7,['Boston Bruins']
Pierre Lacroix,0.585,0.614,0.553,0.585,93,2,12,['Colorado Avalanche']
George Kennedy,0.583,1.0,0.375,0.625,7,0,2,['Montréal Canadiens']
Frank Selke Sr.,0.582,0.713,0.438,0.582,89,6,18,['Montréal Canadiens']
Steve Yzerman,0.573,0.548,0.6,0.573,47,0,8,['Tampa Bay Lightning']
Jim Devellano,0.567,0.654,0.5,0.567,59,1,9,"['Detroit Red Wings', 'Detroit Red Wings']"
Darcy Regier,0.564,0.612,0.519,0.564,57,0,14,['Buffalo Sabres']
Kelly McCrimmon,0.564,0.619,0.5,0.564,22,0,2,['Vegas Golden Knights']
Ray Shero,0.563,0.585,0.54,0.563,58,1,8,['Pittsburgh Penguins']
Fred Shero,0.556,0.667,0.467,0.556,15,0,2,['New York Rangers']
Glen Sather,0.555,0.651,0.5,0.555,187,5,30,"['New York Rangers', 'Edmonton Oilers']"
Bobby Clarke,0.547,0.581,0.491,0.547,123,0,19,"['Philadelphia Flyers', 'Philadelphia Flyers', 'Minnesota North Stars']"
Mike Keenan,0.542,0.591,0.5,0.542,24,0,4,"['Chicago Blackhawks', 'St. Louis Blues']"
Conn Smythe,0.541,0.568,0.512,0.549,93,7,26,['Toronto Maple Leafs']
Irving Grundman,0.54,0.545,0.533,0.54,20,1,5,['Montréal Canadiens']
Keith Allen,0.534,0.653,0.393,0.534,71,2,13,['Philadelphia Flyers']
Neil Smith,0.534,0.578,0.488,0.534,47,1,8,['New York Rangers']
Jay Feaster,0.533,0.522,0.545,0.533,24,1,5,['Tampa Bay Lightning']
Jim Rutherford,0.533,0.571,0.493,0.533,81,3,17,"['Carolina Hurricanes', 'Pittsburgh Penguins']"
Tommy Gorman,0.528,0.6,0.5,0.556,43,6,15,"['Montréal Canadiens', 'Ottawa Senators (1917)', 'Montreal Maroons']"
Kevin Lowe,0.528,0.588,0.474,0.528,19,0,6,['Edmonton Oilers']
George McPhee,0.525,0.5,0.475,0.525,60,0,18,"['Vegas Golden Knights', 'Washington Capitals']"
Jim Benning,0.522,0.455,0.583,0.522,12,0,6,['Vancouver Canucks']
